rank,layer,head,accuracy
69,23,24,0.8870967741935484
70,2,24,0.8870967741935484
71,3,24,0.8870967741935484
72,5,11,0.8870967741935484
73,3,15,0.8870967741935484
74,3,25,0.8870967741935484
75,4,17,0.8870967741935484
76,6,9,0.8870967741935484
77,26,22,0.8870967741935484
78,2,1,0.8870967741935484
79,1,12,0.8870967741935484
80,24,12,0.8870967741935484
81,1,15,0.8870967741935484
82,19,1,0.8870967741935484
83,15,8,0.8870967741935484
84,16,12,0.8870967741935484
85,22,17,0.8870967741935484
86,6,15,0.8870967741935484
87,8,4,0.8870967741935484
88,7,0,0.8870967741935484
89,11,1,0.8870967741935484
90,24,10,0.8870967741935484
91,10,14,0.8870967741935484
92,6,3,0.8870967741935484
93,7,5,0.8870967741935484
94,5,24,0.8870967741935484
95,24,3,0.8709677419354839
96,7,9,0.8709677419354839
97,24,4,0.8709677419354839
98,10,27,0.8709677419354839
99,24,8,0.8709677419354839
100,11,7,0.8709677419354839
101,6,10,0.8709677419354839
102,7,14,0.8709677419354839
103,7,8,0.8709677419354839
104,7,16,0.8709677419354839
105,7,19,0.8709677419354839
106,6,8,0.8709677419354839
107,21,12,0.8709677419354839
108,7,27,0.8709677419354839
109,10,7,0.8709677419354839
110,21,15,0.8709677419354839
111,21,18,0.8709677419354839
112,6,21,0.8709677419354839
113,5,13,0.8709677419354839
114,4,19,0.8709677419354839
115,23,15,0.8709677419354839
116,4,18,0.8709677419354839
117,23,7,0.8709677419354839
118,25,15,0.8709677419354839
119,3,22,0.8709677419354839
120,23,13,0.8709677419354839
121,12,5,0.8709677419354839
122,12,6,0.8709677419354839
123,12,9,0.8709677419354839
124,9,11,0.8709677419354839
125,2,5,0.8709677419354839
126,25,4,0.8709677419354839
127,7,11,0.8709677419354839
128,2,10,0.8709677419354839
129,7,12,0.8709677419354839
130,8,26,0.8709677419354839
131,8,27,0.8709677419354839
132,7,13,0.8709677419354839
133,8,15,0.8709677419354839
134,16,9,0.8709677419354839
135,8,6,0.8709677419354839
136,7,17,0.8709677419354839
137,6,6,0.8709677419354839
138,6,0,0.8709677419354839
139,6,14,0.8709677419354839
140,6,25,0.8709677419354839
141,21,10,0.8709677419354839
142,21,9,0.8709677419354839
143,0,8,0.8548387096774194
144,25,19,0.8548387096774194
145,0,11,0.8548387096774194
146,11,15,0.8548387096774194
147,11,16,0.8548387096774194
148,11,17,0.8548387096774194
149,3,26,0.8548387096774194
150,3,17,0.8548387096774194
151,2,22,0.8548387096774194
